"Source:,""C:\Users\IWONA\Documents\KiCad\Projekty\Sonda w.cz\Sonda_w_cz\Sonda_w_cz.kicad_sch"""
"Date:,""6/24/2022 8:40:55 PM"""
"Tool:,""Eeschema (6.0.6)"""
"Generator:,""C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"""
"Component Count:,""34"""

Individual Components:

"10,""1"",""J1"",""Conn_01x02_Female"",""Connector:Conn_01x02_Female"",""Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",""~"""
"11,""1"",""J2"",""Conn_01x02_Female"",""Connector:Conn_01x02_Female"",""Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"",""~"""
"12,""1"",""Q1"",""BF994S"",""Tranzystory w.cz.:BF994S"",""Package_TO_SOT_SMD:SOT-143"","""""
"13,""1"",""Q2"",""BFR93A"",""Transistor_BJT:BFR92"",""Package_TO_SOT_SMD:SOT-323_SC-70"",""https://assets.nexperia.com/documents/data-sheet/BFR92A_N.pdf"""
"14,""1"",""R1"",""120"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"15,""1"",""R2"",""680"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"16,""2"",""R3, R6"",""10k"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"17,""1"",""R4"",""1k3"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"18,""1"",""R5"",""22"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"19,""1"",""R7"",""51"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"20,""1"",""R8"",""10M"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"21,""1"",""R9"",""160"",""Device:R_Small"",""Resistor_SMD:R_0805_2012Metric"",""~"""
"22,""1"",""TP1"",""TestPoint_Probe"",""Connector:TestPoint_Probe"",""TestPoint:TestPoint_Pad_3.0x3.0mm"",""~"""
"23,""1"",""U1"",""AMS1117"",""Regulator_Linear:AMS1117"",""Package_TO_SOT_SMD:SOT-223-3_TabPin2"",""http://www.advanced-monolithic.com/pdf/ds1117.pdf"""
